
4K频道,#genre#
4K60PHLG-HEVC-EAC3测试,http://159.75.85.63:5680/d/ad/playad.m3u8
4K60PSDR-H264-AAC测试,http://159.75.85.63:5680/d/ad/h264/playad.m3u8

央视,#genre#
CCTV1,https://live.goodiptv.club/api/yqgd.php?id=cctv1hd
CCTV10,https://live.goodiptv.club/api/yqgd.php?id=cctv10hd
CCTV11,https://live.goodiptv.club/api/yqgd.php?id=cctv11
CCTV12,https://live.goodiptv.club/api/yqgd.php?id=cctv12hd
CCTV13,https://live.goodiptv.club/api/yqgd.php?id=cctv13
CCTV14,https://live.goodiptv.club/api/yqgd.php?id=cctv14hd
CCTV15,https://live.goodiptv.club/api/yqgd.php?id=cctv15
CCTV16,https://live.goodiptv.club/api/yqgd.php?id=cctv16hd
CCTV17,https://live.goodiptv.club/api/yqgd.php?id=cctv17
CCTV2,https://live.goodiptv.club/api/yqgd.php?id=cctv2hd
CCTV3,https://live.goodiptv.club/api/yqgd.php?id=cctv3hd
CCTV4,https://live.goodiptv.club/api/yqgd.php?id=cctv4
CCTV5+,https://live.goodiptv.club/api/yqgd.php?id=cctv5p
CCTV5,https://live.goodiptv.club/api/yqgd.php?id=cctv5hd
CCTV6,https://live.goodiptv.club/api/yqgd.php?id=cctv6hd
CCTV7,https://live.goodiptv.club/api/yqgd.php?id=cctv7hd
CCTV8,https://live.goodiptv.club/api/yqgd.php?id=cctv8hd
CCTV9,https://live.goodiptv.club/api/yqgd.php?id=cctv9hd
CGTN,https://live.goodiptv.club/api/yqgd.php?id=cgtn
世界地理,https://live.goodiptv.club/api/yqgd.php?id=sjdl
兵器科技,https://live.goodiptv.club/api/yqgd.php?id=bqkj
卫生健康,https://live.goodiptv.club/api/yqgd.php?id=wsjk
发现之旅,https://live.goodiptv.club/api/yqgd.php?id=fxzl
怀旧剧场,https://live.goodiptv.club/api/yqgd.php?id=hjjc
文化精品,https://live.goodiptv.club/api/yqgd.php?id=whjp
第一剧场,https://live.goodiptv.club/api/yqgd.php?id=dyjc
老故事,https://live.goodiptv.club/api/yqgd.php?id=lgs
风云剧场,https://live.goodiptv.club/api/yqgd.php?id=fyjc
风云足球,https://live.goodiptv.club/api/yqgd.php?id=fyzq
风云音乐,https://live.goodiptv.club/api/yqgd.php?id=fyyy

其他,#genre#
CETV1,https://live.goodiptv.club/api/yqgd.php?id=cetv1
CETV4,https://live.goodiptv.club/api/yqgd.php?id=cetv4
CHC动作电影,https://live.goodiptv.club/api/yqgd.php?id=chcdzdy
CHC动作电影,https://live.goodiptv.club/api/yqgd.php?id=chdzdy2
CHC家庭影院,https://live.goodiptv.club/api/yqgd.php?id=chcjtyy
CHC家庭影院,https://live.goodiptv.club/api/yqgd.php?id=chcjtyy2
CHC高清电影,https://live.goodiptv.club/api/yqgd.php?id=chcgqdy
SITV劲爆体育,https://live.goodiptv.club/api/yqgd.php?id=jbtyhd
SITV法治天地,https://live.goodiptv.club/api/yqgd.php?id=fztd
SITV都市剧场,https://live.goodiptv.club/api/yqgd.php?id=dsjc
SITV金色学堂,https://live.goodiptv.club/api/yqgd.php?id=jsxt
乐游HD,https://live.goodiptv.club/api/yqgd.php?id=lyhd
书画,https://live.goodiptv.club/api/yqgd.php?id=sh
优漫卡通,https://live.goodiptv.club/api/yqgd.php?id=ymkt
先锋乒羽,https://live.goodiptv.club/api/yqgd.php?id=xfpy
卡酷少儿,https://live.goodiptv.club/api/yqgd.php?id=kkse
国学,https://live.goodiptv.club/api/yqgd.php?id=gxpd
央广购物,https://live.goodiptv.club/api/yqgd.php?id=yggw
快乐垂钓,https://live.goodiptv.club/api/yqgd.php?id=klcd
收藏天下,https://live.goodiptv.club/api/yqgd.php?id=sctx
汽摩,https://live.goodiptv.club/api/yqgd.php?id=qm
湖南金鹰卡通,https://live.goodiptv.club/api/yqgd.php?id=jykt
环球奇观,https://live.goodiptv.club/api/yqgd.php?id=hqqg
生活时尚,https://live.goodiptv.club/api/yqgd.php?id=shss
茶,https://live.goodiptv.club/api/yqgd.php?id=cpd
财富天下,https://live.goodiptv.club/api/yqgd.php?id=cftx
阳泉新闻综合HD,https://live.goodiptv.club/api/yqgd.php?id=yqxwzhhd
阳泉科教HD,https://live.goodiptv.club/api/yqgd.php?id=yqkjhd
魅力足球,https://live.goodiptv.club/api/yqgd.php?id=mlzqhd

卫视,#genre#
东南卫视,https://live.goodiptv.club/api/yqgd.php?id=dnws
东方卫视,https://live.goodiptv.club/api/yqgd.php?id=dfwshd
云南卫视,https://live.goodiptv.club/api/yqgd.php?id=ynws
