
﻿📡百视无线,#genre#
独家直播,https://bp-caster.bestv.com.cn/936/3/video.m3u8
百视TV1,https://bp-caster.bestv.com.cn/943/3/video.m3u8
百视TV10,https://bp-caster.bestv.com.cn/938/3/video.m3u8
百视TV11,https://bp-caster.bestv.com.cn/937/3/video.m3u8
百视TV12,https://bp-caster.bestv.com.cn/954/3/video.m3u8
百视TV14,https://bp-caster.bestv.com.cn/934/3/video.m3u8
百视TV2,https://bp-caster.bestv.com.cn/926/3/video.m3u8
百视TV3,https://bp-caster.bestv.com.cn/945/3/video.m3u8
百视TV4,https://bp-caster.bestv.com.cn/900/3/video.m3u8
百视TV5,https://bp-caster.bestv.com.cn/956/3/video.m3u8
百视TV6,https://bp-caster.bestv.com.cn/947/3/video.m3u8
百视TV7,https://bp-caster.bestv.com.cn/941/3/video.m3u8
百视TV8,https://bp-caster.bestv.com.cn/953/3/video.m3u8
百视TV9,https://bp-caster.bestv.com.cn/939/3/video.m3u8
百视独播1,https://bp-caster.bestv.com.cn/946/3/video.m3u8
百视独播2,https://bp-caster.bestv.com.cn/955/3/video.m3u8
百视独播3,https://bp-caster.bestv.com.cn/940/3/video.m3u8
百视独播4,https://bp-caster.bestv.com.cn/944/3/video.m3u8
百视自制,https://bp-caster.bestv.com.cn/723/3/video.m3u8

央视,#genre#
CCTV-1,http://114.254.89.131:2222/udp/239.3.1.129:8008
CCTV-1,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1,http://61.52.27.127:2000/rtp/225.1.4.73:1102
CCTV-1,http://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV-1,https://tv.iill.top/migu/cctv1
CCTV-1,https://tv.iill.top/migu/cctv1b
CCTV-2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2,http://114.254.89.131:2222/udp/239.3.1.60:8084
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2,http://61.52.27.127:2000/rtp/225.1.4.74:1103
CCTV-2,http://live.goodiptv.club/api/bestv.php?id=CCTV-2hd8m/8000000
CCTV-2,http://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV-2,https://tv.iill.top/migu/cctv2
CCTV-3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV-3,http://114.254.89.131:2222/udp/239.3.1.172:8001
CCTV-3,http://live.goodiptv.club/api/bestv.php?id=CCTV-38m/8000000
CCTV-3,http://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV-3,https://tv.iill.top/migu/cctv3
CCTV-4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4,http://61.52.27.127:2000/rtp/225.1.5.30:1333
CCTV-4,http://live.goodiptv.club/api/bestv.php?id=CCTV-4hd8m/8000000
CCTV-4,http://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV-4,https://tv.iill.top/migu/cctv4
CCTV-4欧洲,https://tv.iill.top/migu/cctv4o
CCTV-4欧洲,http://114.254.89.131:2222/udp/239.3.1.213:4220
CCTV-4欧洲,http://61.52.27.127:2000/rtp/225.1.5.31:1342
CCTV-4美洲,http://114.254.89.131:2222/udp/239.3.1.214:4220
CCTV-4美洲,http://61.52.27.127:2000/rtp/225.1.5.32:1343
CCTV-5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5,http://114.254.89.131:2222/udp/239.3.1.173:8001
CCTV-5,http://222.71.90.218:8888/newlive/live/hls/6/live.m3u8
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5,http://live.goodiptv.club/api/bestv.php?id=CCTV-58m/8000000
CCTV-5,http://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV-5,https://tv.iill.top/migu/cctv5b
CCTV-5+,http://114.254.89.131:2222/udp/239.3.1.130:8004
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5+,http://61.52.27.127:2000/rtp/225.1.4.75:1104
